mcccode,Тип торговой точки,mccgrp,Название торговой точки (латиница),Название торговой точки (кириллица),Адрес,№ кассы,Страна,Город,Дата внесения в базу,Примечание
3774, New York-New York Hotel Cas,Hotel/Motel,,,,,,,10/8/2012,
3775, Ocean Dunes Resort And Vill,Hotel/Motel,,,,,,,10/8/2012,
3776, Nevele Grande Resort And Co,Hotel/Motel,,,,,,,10/8/2012,
3777, Mandalay Bay Resort,Hotel/Motel,,,,,,,10/8/2012,
3778, Four Points Hotels,Hotel/Motel,,,,,,,10/8/2012,
3779, W Hotels,Hotel/Motel,,,,,,,10/8/2012,
3780, Disneyland Hotels,Hotel/Motel,,,,,,,10/8/2012,
3781, Patricia Grand Resort Hotel,Hotel/Motel,,,,,,,10/8/2012,
3782, Rosen Hotels & Resorts,Hotel/Motel,,,,,,,10/8/2012,
3783, Town And Country Resort,Hotel/Motel,,,,,,,10/8/2012,
3784, First Hospitality Hotels,Hotel/Motel,,,,,,,10/8/2012,
3785, Outrigger Hotels And Resort,Hotel/Motel,,,,,,,10/8/2012,
3786, Ohanna Hotels Of Hawaii,Hotel/Motel,,,,,,,10/8/2012,
3787, Caribe Royale Resort Suites,Hotel/Motel,,,,,,,10/8/2012,
3788, Ala Moana Hotel,Hotel/Motel,,,,,,,10/8/2012,
3789, Smugglers' Notch Resort,Hotel/Motel,,,,,,,10/8/2012,
3790, Raffles Hotels,Hotel/Motel,,,,,,,10/8/2012,
3791, Staybridge Suites,Hotel/Motel,,,,,,,10/8/2012,
3792, Claridge Casino Hotel,Hotel/Motel,,,,,,,10/8/2012,
3793, The Flamingo Hotels,Hotel/Motel,,,,,,,10/8/2012,
3794, Grand Casino Hotels,Hotel/Motel,,,,,,,10/8/2012,
3795, Paris Las Vegas Hotel,Hotel/Motel,,,,,,,10/8/2012,
3796, Peppermill Hotel Casino,Hotel/Motel,,,,,,,10/8/2012,
3797, Atlantic City Hilton,Hotel/Motel,,,,,,,10/8/2012,
3798, Embassy Vacation Resort,Hotel/Motel,,,,,,,10/8/2012,
3799, Hale Koa Hotel,Hotel/Motel,,,,,,,10/8/2012,
3800, HOMESTEAD SUITES,Hotel/Motel,,,,,,,10/8/2012,
3801,,Hotel/Motel,,,,,,,10/8/2012,
3802, THE PALACE HOTEL,Hotel/Motel,,,,,,,10/8/2012,
3803,,Hotel/Motel,,,,,,,10/8/2012,
3804,,Hotel/Motel,,,,,,,10/8/2012,
3805,,Hotel/Motel,,,,,,,10/8/2012,
3806,,Hotel/Motel,,,,,,,10/8/2012,
3807, ELEMENT,Hotel/Motel,,,,,,,10/8/2012,
3808, LXR,Hotel/Motel,,,,,,,10/8/2012,
3809,,Hotel/Motel,,,,,,,10/8/2012,
3810,,Hotel/Motel,,,,,,,10/8/2012,
3811, PREMIER TRAVEL INNS,Hotel/Motel,,,,,,,10/8/2012,
3812, HYATT PLACE,Hotel/Motel,,,,,,,10/8/2012,
3813, HOTEL INDIGO,Hotel/Motel,,,,,,,10/8/2012,
3814, THE ROOSEVELT HOTEL NY,Hotel/Motel,,,,,,,10/8/2012,
3815, NICKELODEON SUITES,Hotel/Motel,,,,,,,10/8/2012,
3817,,Hotel/Motel,,,,,,,10/8/2012,
3818, MAINSTAY SUITES,Hotel/Motel,,,,,,,10/8/2012,
3819,,Hotel/Motel,,,,,,,10/8/2012,
3819, OXFORD SUITES,Hotel/Motel,,,,,,,10/8/2012,
3820,,Hotel/Motel,,,,,,,10/8/2012,
3820, JUMEIRAH ESSEX HOUSE,Hotel/Motel,,,,,,,10/8/2012,
3821,,Hotel/Motel,,,,,,,10/8/2012,
3821, CARIBE ROYALE,Hotel/Motel,,,,,,,10/8/2012,
3822, CROSSLAND,Hotel/Motel,,,,,,,10/8/2012,
3823,,Hotel/Motel,,,,,,,10/8/2012,
3824,,Hotel/Motel,,,,,,,10/8/2012,
3825,,Hotel/Motel,,,,,,,10/8/2012,
3826,AUTOGRAPH,Hotel/Motel,,,,,,,10/8/2012,
3827,GALT HOUSE,Hotel/Motel,,,,,,,10/8/2012,
3828, COSMOPOLITAN OF LAS VEGAS,Hotel/Motel,,,,,,,10/8/2012,
4011, Railroads - Freight,Retail Purchase,,,,,,,10/8/2012,
4012,,Retail Purchase,,,,,,,10/8/2012,
4013,,Retail Purchase,,,,,,,10/8/2012,
4014,,Retail Purchase,,,,,,,10/8/2012,
4111, Local/Suburban Commuter Pas,Retail Purchase,P RATP ,,,,FRA,PARIS ,10/8/2012,
4112, Passenger RailwaysX,Transportation,RZD,РЖД,"37A 1, NOVAYA BASM",,RUS,MOSCOW ,10/8/2012,
4112, Passenger RailwaysX,Transportation,WWW.RZD.RU ,РЖД.РУ,"37A 1, NOVAYA BASM",,RUS,MOSCOW ,10/16/2012,
4112, Passenger RailwaysX,Transportation,WWW.PAY.AEROEXPRESS.R ,,"HIMKI, AER  ",,RUS,MOSCOW,10/16/2012,
4119, Ambulance Service,Retail Purchase,,,,,,,10/8/2012,
4121, Taxicabs/limousines,Retail Purchase,,,,,,,10/8/2012,
4131, Bus Lines,Retail Purchase,,,,,,,10/8/2012,
4132,,Retail Purchase,,,,,,,10/8/2012,
4133,,Retail Purchase,,,,,,,10/8/2012,
4214, Motor Freight Carriers,Retail Purchase,,,,,,,10/8/2012,
4215, Courier Services-air Or Gro,Retail Purchase,POLAR EXPRESS LLC,,,,,,10/8/2012,
4225, Public Warehousing,Retail Purchase,,,,,,,10/8/2012,
4411, Cruise Lines,Transportation,,,,,,,10/8/2012,
4457, Boat Rentals And Lease,Retail Purchase,,,,,,,10/8/2012,
4468," Marinas,marine Service/supp",Retail Purchase,,,,,,,10/8/2012,
4511," Airlines, Air Carriers",Transportation,S7 Airlines,ЭС СЭВЭН ЭЙРЛАЙНС,,,RUS,,10/8/2012,
4511," Airlines, Air Carriers",Transportation,VIETNAM AIRLINES,ВЬЕТНАМСКИЕ АВИАЛИНИИ,,,,,10/8/2012,
4511," Airlines, Air Carriers",Transportation,UTAIR  ,ЮТЭЙР,,,,,10/8/2012,
4511," Airlines, Air Carriers",Transportation,WWW.OSTROVOK.RU,ОСТРОВОК.РУ,,,RUS,MOSCOW ,10/16/2012,
4511," Airlines, Air Carriers",Transportation,IBE_S7 ,,FRUNZE ST. ,,RUS,NOVOSIBIRSK ,10/16/2012,
4511," Airlines, Air Carriers",Transportation,NABORTU.RU ,НАБОРТУ.РУ,,,RUS,MOSCOW ,10/16/2012,
4511," Airlines, Air Carriers",Transportation,WWW.ESTO ,,LENNUJAAMA 13 ,,EST,TALLINN ,10/16/2012,
4582," Airports,flying Fields",Retail Purchase,,,,,,,10/8/2012,
4722, Travel Agencies And Tour Op,Retail Purchase,TEMP TOUR GROUP AGENC ,ТЕМП ТУР ГРУПП,VARVARKA,,RUS,MOSCOW ,10/16/2012,
4783,,Retail Purchase,,,,,,,10/8/2012,
4784," Tolls,road And Bridge Fees",Retail Purchase,,,,,,,10/8/2012,
4785,,Retail Purchase,,,,,,,10/8/2012,
4786,,Retail Purchase,,,,,,,10/8/2012,
4789, Transportation Services,Retail Purchase,,,,,,,10/8/2012,
4811,,Retail Purchase,,,,,,,10/8/2012,
4812, Telephone Service/Equip....,Retail Purchase,BEELINE SOTOVAYA SVYAZ,БИЛАЙН,,,RUS,MOSCOW ,10/8/2012,
4812, Telephone Service/Equip....,Retail Purchase,SVYAZNOY ,СВЯЗНОЙ,,,RUS,MOSCOW ,10/8/2012,
4812, Telephone Service/Equip....,Retail Purchase,MTS,МТС,,,RUS,MOSCOW ,10/8/2012,
4812, Telephone Service/Equip....,Retail Purchase,INTELLECTMONEY ,ИНТЕЛЛЕКТМАНИ,LENINGRADSKIY PR,,RUS,MOSCOW ,10/16/2012,
4813, Key-Enter Telecom Merchant,Mail/Telephone/Preauth order,,,,,,,10/8/2012,
4814, Telecommunication Service,Mail/Telephone/Preauth order,SIPNET RU  SERVICE,СИПНЕТ,,,RUS,MOSCOW ,10/8/2012,
4814, Telecommunication Service,Mail/Telephone/Preauth order,WWW.GOODLINE.RU,ГУДЛАЙН,,,RUS,MOSCOW ,10/8/2012,
4814, Telecommunication Service,Mail/Telephone/Preauth order,WWW.MEGAFON.RU,МЕГАФОН,"VYATSKAYA,27-42",,RUS,MOSCOW ,10/8/2012,
4814, Telecommunication Service,Mail/Telephone/Preauth order,YANDEX.MONEY,ЯНДЕКС.ДЕНЬГИ,"16, LVA TOLSTOGO",,RUS,MOSCOW ,10/8/2012,
4814, Telecommunication Service,Mail/Telephone/Preauth order,WWW.MTS.RU,МТС,UL.MARKSISTSKAJA D4,,RUS,MOSCOW ,10/8/2012,
4814, Telecommunication Service,Mail/Telephone/Preauth order,W1.RU,,"10,PRESNENSKAYA",,RUS,MOSCOW ,10/16/2012,
4814, Telecommunication Service,Mail/Telephone/Preauth order,NOVOTELEKOM,НОВОТЕЛЕКОМ,UL.OKTJABRSK,,RUS, NOVOSIBIRSK,10/16/2012,
4814, Telecommunication Service,Mail/Telephone/Preauth order,ROSTELECOM,РОСТЕЛЕКОМ,"UL.GORKOGO, 53",,RUS, NOVOSIBIRSK,10/16/2012,
4815, Monthly Summary Telephone C,Retail Purchase,,,,,,,10/8/2012,
4816, Computer Network/Informatio,Retail Purchase,WWW.NETBYNET.RU,НЭТБАЙНЭТ,,,,,10/8/2012,
4816, Computer Network/Informatio,Retail Purchase,RBK MONEY,РБК МАНИ,,,RUS,MOSCOW ,10/8/2012,
4816, Computer Network/Informatio,Retail Purchase,YANDEX.MONEY.WALLET,ЯНДЕКС.ДЕНЬГИ – КОШЕЛЕК,,,RUS,MOSCOW ,10/8/2012,
4816, Computer Network/Informatio,Retail Purchase,PLATEZH.RU,ПЛАТЕЖ.РУ,"KANATCHIKOVIY PASS.,1",,RUS,MOSCOW ,10/16/2012,
4817,,Retail Purchase,,,,,,,10/8/2012,
4818,,Retail Purchase,,,,,,,10/8/2012,
4819,,Retail Purchase,,,,,,,10/8/2012,
4821, Telegraph Servoces Wire Tra,Retail Purchase,,,,,,,10/8/2012,
4829, Wire Transfer Money Orders,Unique,,,,,,,10/8/2012,
4899, Cable Services,Retail Purchase,TRICOLOR TV,ТРИКОЛОР ТВ,11 KORP.3 SELSKOKHOZ,,RUS,MOSCOW ,10/8/2012,
4900," Utilities-electric,gas,wate",Retail Purchase,MOSENERGOSBYT EL,МОСЭНЕРГОСБЫТ,VAVILOVA STR 9,,RUS,MOSCOW ,10/8/2012,
4900," Utilities-electric,gas,wate",Retail Purchase,MOS.GOSUSLUGI.RU,ПОРТАЛ ГОСУДАРСТВЕННЫХ УСЛУГ Г. МОСКВЫ,,,RUS,MOSCOW ,10/8/2012,
4900," Utilities-electric,gas,wate",Retail Purchase,"QIWI_JKU ( свет, вода, газ)","КИВИ ( свет, вода, газ)",125 18A VARSHAVSKOE SH,,RUS,MOSCOW ,10/8/2012,
4900," Utilities-electric,gas,wate",Retail Purchase,VYMPELKOM,ВЫМПЕЛКОМ,,,,,10/8/2012,
4900," Utilities-electric,gas,wate",Retail Purchase,NOVOSIBIRSKENERGO,НОВОСИБИРСКЭНЕРГО,UL.SVERDL,,RUS, NOVOSIBIRSK,10/16/2012,
4900," Utilities-electric,gas,wate",Retail Purchase,SIBECO,СИБИРСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ,"UL.SVERDLOVA, 7",,RUS, NOVOSIBIRSK,10/16/2012,
4900," Utilities-electric,gas,wate",Retail Purchase,SIBIRENERGO,СИБИРЬЭНЕРГО,UL.ORDZHONIKIDZ,,RUS, NOVOSIBIRSK,10/16/2012,
5013, Motor Vehicle Parts/Supplie,Retail Purchase,,,,,,,10/8/2012,
5021, Office And Commercial Furni,Retail Purchase,,,,,,,10/8/2012,
5039, Constuction Materials N-Els,Retail Purchase,,,,,,,10/8/2012,
5044, Office/Photogr/Cpy/Microfil,Retail Purchase,,,,,,,10/8/2012,
5045, Computers/Peripheral/Softwr,Retail Purchase,,,,,,,10/8/2012,
5046, Commercial Equipment N-Else,Retail Purchase,,,,,,,10/8/2012,
5047, Lab/Medic/Dental/Opth/Equip,Retail Purchase,,,,,,,10/8/2012,
5051, Metal Service Centres/Offic,Retail Purchase,,,,,,,10/8/2012,
5065, Electric Parts/Equipment,Retail Purchase,,,,,,,10/8/2012,
5072, Hardware Equipment/Supplies,Retail Purchase,,,,,,,10/8/2012,
5074, Plumbing/Heating Equipment,Retail Purchase,,,,,,,10/8/2012,
5085, Industrial Supplies N-Else,Retail Purchase,,,,,,,10/8/2012,
5094, Precious Stones/Metals/Jewe,Jewelry,,,,,,,10/8/2012,
5099, Durable Goods N-elsewhere,Retail Purchase,,,,,,,10/8/2012,
5111, Stationery/Off-Supp/Printin,Retail Purchase,,,,,,,10/8/2012,
5122, Drugs/Drug Propriat/Sundrie,Retail Purchase,,,,,,,10/8/2012,
5131, Piece Goods/Nations Dry Goo,Retail Purchase,,,,,,,10/8/2012,
5137, Men/Women/Child Uniforms/Co,Retail Purchase,,,,,,,10/8/2012,
5139, Commercial Footwear,Retail Purchase,,,,,,,10/8/2012,
5169, Chemicals/Allied Prod N-Els,Retail Purchase,,,,,,,10/8/2012,
5172, Petroleum/Petrol Products,Retail Purchase,,,,,,,10/8/2012,
5192, Books/Periodicals/Newspaper,Retail Purchase,,,,,,,10/8/2012,
5193, Florist/Nursery Stock/Flowe,Retail Purchase,,,,,,,10/8/2012,
5198, Paints/Varnishes Supplies,Retail Purchase,,,,,,,10/8/2012,
5199, Nondurable Goods N-Else,Retail Purchase,,,,,,,10/8/2012,
5200," Home Supply,Warehouse Store",Retail Purchase,PENTAGON LTD,,PERVOMAYSKAYA STR,,RUS,MOSCOW,10/8/2012,
5200," Home Supply,Warehouse Store",Retail Purchase,KAPEL 1,,,,RUS,PERVOURALSK,4/11/2013,ID терминала 164137
5211, Lumber And Building Materia,Retail Purchase,STD PETROVICH,СТД ПЕТРОВИЧ,,,,,10/8/2012,
5211, Lumber And Building Materia,Retail Purchase,MAKSIDOM,,"LENINSKIY, ST",,RUS,PETERSBURG,,
5231," Glass,paint,wallpaper Store",Retail Purchase,,,,,,,10/8/2012,
5251, Hardware Stores,Retail Purchase,OLDI 3,ОЛДИ,,,,,10/8/2012,
5261," Nurseries,lawn & Garden",Retail Purchase,OBI,ОБИ,,,RUS,MOSCOW,10/8/2012,
5261," Nurseries,lawn & Garden",Retail Purchase,LEROY MERLIN,ЛЕРУА МЕРЛЕН,,,RUS,MOSCOW,,
5271, Mobile Home Dealers,Retail Purchase,,,,,,,10/8/2012,
5300, Wholesale Clubs,Retail Purchase,METRO STORE 1067,МЕТРО КЭШ ЭНД КЕРРИ,,,RUS,,10/8/2012,
5309, Duty Free Stores,Retail Purchase,,,,,,,10/8/2012,
5310, Discount stores,Retail Purchase,WAL-MART,ВОЛ-МАРТ,,,RUS,,10/8/2012,
5311, Department stores,Variety/Groc/Food Stores,MOTHERCARE SHOP,МАЗЕКЕЯ,ENTUZIASTOV HW 1 ,,RUS,MOSCOW,10/8/2012,
5311, Department stores,Variety/Groc/Food Stores,TC GIGANT,ТЦ ГИГАНТ,8 ENERGETIKOV PAS,,RUS, NOVOSIBIRSK,10/16/2012,
5311, Department stores,Variety/Groc/Food Stores,TOVARY DLYA DOMA,ТОВАРЫ ДЛЯ ДОМА,19A TOLMAC,,RUS, NOVOSIBIRSK,10/16/2012,
5312,,Retail Purchase,,,,,,,10/8/2012,
5313,,Retail Purchase,,,,,,,10/8/2012,
5314,,Retail Purchase,,,,,,,10/8/2012,
5331, Variety Stores,Variety/Groc/Food Stores,,,,,,,10/8/2012,
5333,,Retail Purchase,,,,,,,10/8/2012,
5335,,Retail Purchase,,,,,,,10/8/2012,
5338,,Retail Purchase,,,,,,,10/8/2012,
5350,,Retail Purchase,,,,,,,10/8/2012,
5399, Miscellaneous General Merch,Retail Purchase,GOOGLE,ГУГЛ,,,,,10/8/2012,
5399, Miscellaneous General Merch,Retail Purchase,SIBTREVEL,СИБТРЕВЕЛ,VOENNAYA STR,,RUS, NOVOSIBIRSK,10/16/2012,
5399, Miscellaneous General Merch,Retail Purchase,WWW.KUPIKUPON.RU,КУПИКУПОН.РУ,PAVLOVSKAYA ST.,,RUS,MOSCOW,10/16/2012,
5399, Miscellaneous General Merch,Retail Purchase,WWW.SPORTALL.RU,,,,RUS,MOSCOW,10/16/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,MINI-MARKET STOLICHNII,МИНИМАРКЕТ СТОЛИЧНЫЙ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,DIKSI,ДИКСИ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,ASSORTI ZHELANIY,АССОРТИ ЖЕЛАНИЙ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,PEREKRESTOK,ПЕРЕКРЕСТОК,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,MATRITSA,МАТРИЦА,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,BIOP-ROGOZHSKIY VAL,БИОП-РОГОЖСКИЙ ВАЛ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,UNIVERSAM ZVEZDNY,УНИВЕРСАМ ЗВЕЗДНЫЙ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,DK LAVROVA  SHOP,ДК ЛАВРОВА ШОП,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,MONETKA,МОНЕТКА (торговая сеть гипермаркетов),,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,LYUBIMETS FORTUNY,ЛЮБИМЕЦ ФОРТУНЫ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,YA LYUBIMYY,Я ЛЮБИМЫЙ (сеть супермаркетов),,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,BYSTRONOM,БЫСТРОНОМ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,LENTA ,ЛЕНТА,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,BAHETLE,БАХЕТЛЕ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,BAHETLE,БАХЕТЛЕ,UL KIROVA 25,,RUS,NOVOSIBIRSK,10/16/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,OKEY,ОКЕЙ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,MAGNIT ,МАГНИТ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,GURMAN,ГУРМАН,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,SUPERMAN,СУПЕРМЕН,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,OKEAN,ОКЕАН,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,SUPERMARKET FRESH,СУПЕРМАРКЕТ ФРЕШ,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,ALYE PARUSA,АЛЫЕ ПАРУСА,,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,AUCHAN,АШАН,LEFORTOVO,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,AUCHAN,АШАН,NOVOSIBIRSK ,,RUS,NOVOSIBIRSK,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,AUCHAN,АШАН,SOKOLNIKI ,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,AUCHAN BELAYA DACHA,АШАН,KOTELNIKI,,RUS,MOSCOW,4/11/2013,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,BILLA,БИЛЛА,2 PROKATNAYA ST,,RUS,MOSCOW,10/8/2012,
5411," Grocery Stores,supermarkets",Variety/Groc/Food Stores,Supermarkets PERVOUR,,8 LENINA,,RUS,EKATERINBURG,4/11/2013,ID терминала 00184014
5422, Freezer And Locker Meat Pro,Retail Purchase,,,,,,,10/8/2012,
5441," Candy,nut,confectionary Sto",Retail Purchase,,,,,,,10/8/2012,
5451, Dairy Products Stores,Retail Purchase,,,,,,,10/8/2012,
5462, Bakeries,Retail Purchase,,,,,,,10/8/2012,
5499, Miscellaneous Food Stores,Variety/Groc/Food Stores,MYASNOV,МЯСНОВ,,,RUS,MOSCOW,10/8/2012,
5499, Miscellaneous Food Stores,Variety/Groc/Food Stores,MAGNOLIYA,МАГНОЛИЯ,,,RUS,MOSCOW,10/8/2012,
5499, Miscellaneous Food Stores,Variety/Groc/Food Stores,UNIVERSAM AVOSKA,АВОСЬКА,,,RUS,MOSCOW,10/8/2012,
5499, Miscellaneous Food Stores,Variety/Groc/Food Stores,IKEA ,ИКЕА,,,RUS,MOSCOW,10/8/2012,
5499, Miscellaneous Food Stores,Variety/Groc/Food Stores,PYATEROCHKA,ПЯТЕРОЧКА,,,RUS,MOSCOW,10/8/2012,
5499, Miscellaneous Food Stores,Variety/Groc/Food Stores,STANEM DRUZYAMI,СТАНЕМ ДРУЗЬЯМИ,1 SEMENOVSKAYA S,,RUS,MOSCOW,10/16/2012,
5511, Automobile & Truck Dealers,Retail Purchase,KSD MOTORS,,"5,1,AMURSKAYA",,RUS,MOSCOW,10/8/2012,
5521, Automobile & Truck Dealers,Retail Purchase,,,,,,,10/8/2012,
5531, Auto & Home Supply Stores,Retail Purchase,,,,,,,10/8/2012,
5532, Automotive Tire Stores,Retail Purchase,,,,,,,10/8/2012,
5533," Automotive Parts,acces. Sto",Retail Purchase,AUTODOC.RU,АВТОДОК,,,,,10/8/2012,
5533," Automotive Parts,acces. Sto",Retail Purchase,AVTOTEKHTSENTR,АВТОТЕХЦЕНТР,10 GOLOVINSKOE SH,,RUS,MOSCOW,10/16/2012,
5541, Service Stations,Retail Purchase,TATNEFT,ТАТНЕФТЬ,,,RUS,MOSCOW,10/8/2012,
5541, Service Stations,Retail Purchase,SHELL NEFT ,ШЕЛЛ НЕФТЬ,,,RUS,MOSCOW,10/8/2012,
5541, Service Stations,Retail Purchase,BP,БИПИ,,,RUS,MOSCOW,10/8/2012,
5541, Service Stations,Retail Purchase,LUKOYL 14  AZS ,,,,RUS,NOVOSIBIRSK,10/16/2012,
5541, Service Stations,Retail Purchase,LUKOYL  80  AZS ,,,,RUS,NOVOSIBIRSK,10/16/2012,
5542, Automated Fuel Dispenser,Retail Purchase,,,,,,,10/8/2012,
5543,,Retail Purchase,,,,,,,10/8/2012,
5544,,Retail Purchase,,,,,,,10/8/2012,
5551, Boat Dealers,Retail Purchase,,,,,,,10/8/2012,
5561, Recreational And Utility,Retail Purchase,,,,,,,10/8/2012,
5571, Motorcycle Shops And Dealer,Retail Purchase,,,,,,,10/8/2012,
5592, Motor Home Dealers,Retail Purchase,,,,,,,10/8/2012,
5598, Snowmobile Dealers,Retail Purchase,,,,,,,10/8/2012,
5599, Miscellaneous Automotive De,Retail Purchase,,,,,,,10/8/2012,
5611, Men's And Boys' Clothing,Retail Purchase,,,,,,,10/8/2012,
5621, Women's Ready-to-wear Store,Retail Purchase,MILAVITSA,МИЛАВИЦА,7 KARLA MARKSA PR,,RUS,NOVOSIBIRSK,10/8/2012,
5621, Women's Ready-to-wear Store,Retail Purchase,EL PUNTO,,,,RUS,MOSCOW,10/16/2012,
5631, Women's Accessory And Speci,Retail Purchase,,,,,,,10/8/2012,
5641, Children's And Infant's Wea,Retail Purchase,KARUSEL,КАРУСЕЛЬ,,,,,10/8/2012,
5641, Children's And Infant's Wea,Retail Purchase,DOCHKI SINOCHKI,ДОЧКИ СЫНОЧКИ,NOVOGIREEVSKAYA,,RUS,MOSCOW,10/16/2012,
5641, Children's And Infant's Wea,Retail Purchase,NEPOSEDA-SITI,НЕПОСЕДА-СИТИ,107 VATUTINA,,RUS,NOVOSIBIRSK,10/16/2012,
5641, Children's And Infant's Wea,Retail Purchase,EZHIK,,,,RUS,PERVOURALSK,4/11/2013,ID терминала 289917
5651, Family Clothing Stores,Retail Purchase,COLINS,КОЛИНЗ,YUNAYTED 7 ST,,RUS,PETERSBURG,10/8/2012,
5651, Family Clothing Stores,Retail Purchase,GLORIA JEANS,ГЛОРИЯ ДЖИНС,,,RUS,NOVOSIBIRSK,10/16/2012,
5651, Family Clothing Stores,Retail Purchase,KOROLEVA-MEGA,КОРОЛЕВА-МЕГА,,,RUS,NOVOSIBIRSK,10/16/2012,
5651, Family Clothing Stores,Retail Purchase,LACOSTE,ЛАКОСТ,,,RUS,PETERSBURG,10/16/2012,
5651, Family Clothing Stores,Retail Purchase,ANGELO SAVALLINI,,,,RUS,MOSCOW,10/16/2012,
5651, Family Clothing Stores,Retail Purchase,TERVOLINA,ТЕРВОЛИНА,2 VLADIMIR ,,RUS,MOSCOW,10/16/2012,
5651, Family Clothing Stores,Retail Purchase,THOMAS MUNZ,,"KARLA MARKSA, 3 ",,RUS,NOVOSIBIRSK,10/16/2012,
5655," Sports Apparel,riding App.s",Retail Purchase,ADIDAS,АДИДАС,,,,,10/8/2012,
5661, Shoe stores,Retail Purchase,,,,,,,10/8/2012,
5662,,Retail Purchase,,,,,,,10/8/2012,
5663,,Retail Purchase,,,,,,,10/8/2012,
5681, Furriers And Fur Shops,Retail Purchase,,,,,,,10/8/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,FINN FLARE,,107 VATUTINA ST ,,RUS,NOVOSIBIRSK,10/8/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,ELEGANT,,107 VATUTINA ST ,,RUS,NOVOSIBIRSK,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,VESHCH,,107 VATUTINA ST ,,RUS,NOVOSIBIRSK,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,BAON,,2 KIEVSKOGO VKZ,,RUS,MOSCOW,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,BERSHKA,БЕРШКА,16 UL. VOENNAYA,,RUS,NOVOSIBIRSK,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,CARLO PAZOLINI,КАРЛО ПАЗОЛИНИ,6 AVTOZAVODSKOYE,,RUS,TOLYAT,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,CKJ,,"PL.KIYEVSKOGO VOKZALA,VL.2",,RUS,MOSCOW,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,GLORIA JEANS,ГЛОРИЯ ДЖИНС,71A IZMAYLOVSKOE SH,,RUS,MOSCOW,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,INCITY,,3 VOENNAYA STR,,RUS,NOVOSIBIRSK,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,KLASSIK SPORT,,,,RUS,NOVOSIBIRSK,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,MOHITO TROYKA,,,,RUS,MOSCOW,10/16/2012,
