mcccode,Тип торговой точки,mccgrp,Название торговой точки (латиница),Название торговой точки (кириллица),Адрес,№ кассы,Страна,Город,Дата внесения в базу,Примечание
3039, Avianca,Transportation,,,,,,,10/8/2012,
3040, Gulf Air (Bahrain),Transportation,,,,,,,10/8/2012,
3041, Balkan - Bulgarian Airlines,Transportation,,,,,,,10/8/2012,
3042, Finnair,Transportation,,,,,,,10/8/2012,
3043, Aer Lingus,Transportation,,,,,,,10/8/2012,
3044, Air Lanka,Transportation,,,,,,,10/8/2012,
3045, Nigeria Airways,Transportation,,,,,,,10/8/2012,
3046, Cruzeiro Do Sul (Bra.),Transportation,,,,,,,10/8/2012,
3047, THY (Turkey),Transportation,,,,,,,10/8/2012,
3048, Royal Air Maroc,Transportation,,,,,,,10/8/2012,
3049, Tunis Air,Transportation,,,,,,,10/8/2012,
3050, Icelandair,Transportation,,,,,,,10/8/2012,
3051, Austrian Airlines,Transportation,,,,,,,10/8/2012,
3052, Lan Air,Transportation,,,,,,,10/8/2012,
3053, AVIACO (Spain),Transportation,,,,,,,10/8/2012,
3054, Ladeco (Chile),Transportation,,,,,,,10/8/2012,
3055, LAB (Bolivia),Transportation,,,,,,,10/8/2012,
3056, JET AIR,Transportation,,,,,,,10/8/2012,
3057,(Obsolete)  East/West Air. (Aust),Transportation,,,,,,,10/8/2012,
3058, Delta,Transportation,,,,,,,10/8/2012,
3059, DBA AIRLINES,Transportation,,,,,,,10/8/2012,
3060, NWA Air,Transportation,,,,,,,10/8/2012,
3061, Continental,Transportation,,,,,,,10/8/2012,
3062, HAPAG-LLOYD EXPRESS AIRLINES,Transportation,,,,,,,10/8/2012,
3063, U.S. Airwys,Transportation,,,,,,,10/8/2012,
3064, Adria Airways,Transportation,,,,,,,10/8/2012,
3065, Air Inter,Transportation,,,,,,,10/8/2012,
3066, Southwest,Transportation,,,,,,,10/8/2012,
3067, Vanguard Airlines,Transportation,,,,,,,10/8/2012,
3068, AIR ASTANA,Transportation,,,,,,,10/8/2012,
3071, Air British Columbia,Transportation,,,,,,,10/8/2012,
3072,,Transportation,,,,,,,10/8/2012,
3072, CEBU PAC,Transportation,,,,,,,10/8/2012,
3075, Singapore Airlines,Transportation,,,,,,,10/8/2012,
3076, Aeromexico,Transportation,,,,,,,10/8/2012,
3077, Thai Airways,Transportation,,,,,,,10/8/2012,
3078, China Airlines,Transportation,,,,,,,10/8/2012,
3079, Jetstar Airways,Transportation,,,,,,,10/8/2012,
3081,(Obsolete)  Nordair,Transportation,,,,,,,10/8/2012,
3082, Korean Airlines,Transportation,,,,,,,10/8/2012,
3083, Airafrique,Transportation,,,,,,,10/8/2012,
3084, Eva Air,Transportation,,,,,,,10/8/2012,
3085, Midwest Express Airlines,Transportation,,,,,,,10/8/2012,
3086, Carnivalair,Transportation,,,,,,,10/8/2012,
3087, Metro Airlines,Transportation,,,,,,,10/8/2012,
3088, Croatia Air,Transportation,,,,,,,10/8/2012,
3089, Transaero,Transportation,TRANSAERO  ,ТРАНСАЭРО,"47-1,B.POLYANKA",, RUS,MOSCOW,10/8/2012,
3090, Qatar Airways Company W.L.L,Transportation,,,,,,,10/8/2012,
3092, Midway Airlines,Transportation,,,,,,,10/8/2012,
3094, Zambia Airways,Transportation,,,,,,,10/8/2012,
3095, Wardair (canada),Transportation,,,,,,,10/8/2012,
3096, Air Zimbabwe,Transportation,,,,,,,10/8/2012,
3097, Spanair,Transportation,,,,,,,10/8/2012,
3098, Asiana Airlines,Transportation,,,,,,,10/8/2012,
3099, Cathay Pacific,Transportation,,,,,,,10/8/2012,
3100, Malaysian Air Sys.,Transportation,,,,,,,10/8/2012,
3102, Iberia,Transportation,,,,,,,10/8/2012,
3103, Garuda (Indonesia),Transportation,,,,,,,10/8/2012,
3106, Braathens S.A.F.E(Nor),Transportation,,,,,,,10/8/2012,
3110, Wings Airways,Transportation,,,,,,,10/8/2012,
3111, British Midland,Transportation,,,,,,,10/8/2012,
3112, Windward Island,Transportation,,,,,,,10/8/2012,
3115, Tower Air,Transportation,,,,,,,10/8/2012,
3117, Viasa,Transportation,,,,,,,10/8/2012,
3118, Valley Airlines,Transportation,,,,,,,10/8/2012,
3125, Tan Sahsa,Transportation,,,,,,,10/8/2012,
3126, Talair,Transportation,,,,,,,10/8/2012,
3127, Taca Int,Transportation,,,,,,,10/8/2012,
3129, Surinam Airways,Transportation,,,,,,,10/8/2012,
3130, Sun World Int,Transportation,,,,,,,10/8/2012,
3131,,Transportation,,,,,,,10/8/2012,
3132, Frontier Airlines,Transportation,,,,,,,10/8/2012,
3133, Sunbelt Airlines,Transportation,,,,,,,10/8/2012,
3135, Sudan Airways,Transportation,,,,,,,10/8/2012,
3136, Qatar Airways Company W.L.L,Transportation,,,,,,,10/8/2012,
3137, Singleton,Transportation,,,,,,,10/8/2012,
3138, Simmons Airlines,Transportation,,,,,,,10/8/2012,
3143, Scenic Airlines,Transportation,,,,,,,10/8/2012,
3144, Virgin Atlantic   Viratl,Transportation,,,,,,,10/8/2012,
3145, San Juan,Transportation,,,,,,,10/8/2012,
3146, Luxair,Transportation,,,,,,,10/8/2012,
3148," Air Littoral, S.A.(LITTORAL",Transportation,,,,,,,10/8/2012,
3151, Air Zaire  Airzaire,Transportation,,,,,,,10/8/2012,
3154, Princeville,Transportation,,,,,,,10/8/2012,
